Initial,Final,Wavelength (nm),Wavelength error (nm),Wavelength (nm),Matrix element (a.u.),Matrix el. error (a.u.),Matrix element (a.u.),Reference,DOI,Reference 2,DOI 2
5d5/2,8f5/2,663.0464,0,663.0464,0.3630741,0.0120777,0.363(12),,,,
5d5/2,8f7/2,663.0487,0,663.0487,1.6239385,0.0539467,1.624(54),,,,
5d5/2,9f5/2,647.439,0,647.439,0.2933789,0.0082424,0.2934(82),,,,
5d5/2,9f7/2,647.4406,0,647.4406,1.3122042,0.0368041,1.312(37),,,,
5d5/2,10f5/2,636.7268,0,636.7268,0.2441445,0.0059967,0.2441(60),,,,
5d5/2,10f7/2,636.728,0,636.728,1.0919886,0.0267686,1.092(27),,,,
5d5/2,11f5/2,629.0319,0,629.0319,0.2076831,0.004576,0.2077(46),,,,
5d5/2,11f7/2,629.0327,0,629.0327,0.9289047,0.0204216,0.929(20),,,,
5d5/2,12f5/2,623.3062,0,623.3062,0.1797316,0.0036186,0.1797(36),,,,
5d5/2,12f7/2,623.3069,0,623.3069,0.8038835,0.016145,0.804(16),,,,
6d3/2,6p1/2,876.3817,0.0001,876.3817(1),4.2347244,0.0694282,4.235(69),,,,
6d3/2,6p3/2,921.106,0.0001,921.1060(1),2.0921392,0.0326767,2.092(33),,,,
6d3/2,7p1/2,12143.689,0.2953,12143.7(3),17.988501,0.044033,17.989(44),,,,
6d3/2,7p3/2,15566.0436,0.6305,15566.0(6),8.0738487,0.0207378,8.074(21),,,,
6d3/2,8p1/2,3205.1134,0.001,3205.113(1),5.0136941,0.163201,5.01(16),,,,
6d3/2,8p3/2,3122.3782,0.0293,3122.38(3),1.979535,0.0724079,1.980(72),,,,
6d3/2,9p1/2,1980.9137,0.0004,1980.9137(4),1.5606154,0.0229552,1.561(23),,,,
6d3/2,9p3/2,1963.5343,0.0006,1963.5343(6),0.6330913,0.0095122,0.6331(95),,,,
6d3/2,10p1/2,1629.1975,0.0003,1629.1975(3),0.8495324,0.0158014,0.850(16),,,,
6d3/2,10p3/2,1622.0979,0.0004,1622.0979(4),0.3462759,0.0067377,0.3463(67),,,,
6d3/2,11p1/2,1467.4371,0.0002,1467.4371(2),0.5643095,0.0112538,0.564(11),,,,
6d3/2,11p3/2,1463.6996,0.0007,1463.6996(7),0.2303111,0.0048589,0.2303(49),,,,
6d3/2,12p1/2,1376.7258,0.0002,1376.7258(2),0.414813,0.008533,0.4148(85),,,,
6d3/2,12p3/2,1374.4714,0.0006,1374.4714(6),0.1693557,0.0037135,0.1694(37),,,,
6d3/2,13p1/2,1319.8102,0.0002,1319.8102(2),0.3240421,0.0067784,0.3240(68),,,,
6d3/2,13p3/2,1318.3295,0.0005,1318.3295(5),0.1323092,0.0029614,0.1323(30),,,,
6d3/2,14p1/2,1281.3858,0.0002,1281.3858(2),0.2635628,0.0055697,0.2636(56),,,,
6d3/2,14p3/2,1280.3537,0.0005,1280.3537(5),0.1076108,0.0024442,0.1076(24),,,,
6d3/2,4f5/2,5309.5299,0.0063,5309.530(6),24.618176,0.091977,24.618(92),,,,
6d3/2,5f5/2,2281.812,0.0016,2281.812(2),3.9601362,0.1848389,3.96(18),,,,
6d3/2,6f5/2,1741.9502,0.0003,1741.9502(3),2.8938615,0.0602824,2.894(60),,,,
6d3/2,7f5/2,1524.5853,0.0002,1524.5853(2),2.120024,0.0478682,2.120(48),,,,
6d3/2,8f5/2,1410.4528,0.0002,1410.4528(2),1.6366337,0.0375045,1.637(38),,,,
6d3/2,9f5/2,1341.6528,0.0002,1341.6528(2),1.3159033,0.030195,1.316(30),,,,
6d3/2,10f5/2,1296.4545,0.0002,1296.4545(2),1.0903367,0.0249682,1.090(25),,,,
6d3/2,11f5/2,1264.9474,0.0002,1264.9474(2),0.9242395,0.0211098,0.924(21),,,,
6d3/2,12f5/2,1242.0047,0.0002,1242.0047(2),0.7977554,0.0180302,0.798(18),,,,
6d5/2,6p3/2,917.4834,0.0001,917.4834(1),6.1277531,0.0918171,6.128(92),,,,
6d5/2,7p3/2,14592.3773,0.554,14592.4(6),24.353532,0.05732,24.354(57),,,,
6d5/2,8p3/2,3164.7355,0.0301,3164.74(3),6.173526,0.2005302,6.17(20),,,,
6d5/2,9p3/2,1980.2012,0.0006,1980.2012(6),1.9659139,0.0274149,1.966(27),,,,
6d5/2,10p3/2,1633.4556,0.0004,1633.4556(4),1.0741961,0.0190362,1.074(19),,,,
6d5/2,11p3/2,1472.9411,0.0007,1472.9411(7),0.7142326,0.0136304,0.714(14),,,,
6d5/2,12p3/2,1382.6174,0.0006,1382.6174(6),0.5251424,0.0103783,0.525(10),,,,
6d5/2,13p3/2,1325.8218,0.0006,1325.8218(6),0.4102521,0.0082565,0.4103(83),,,,
6d5/2,14p3/2,1287.4194,0.0005,1287.4194(5),0.333667,0.0068041,0.3337(68),,,,
6d5/2,4f5/2,5433.1863,0.0066,5433.186(7),6.5991527,0.0221596,6.599(22),,,,
6d5/2,4f7/2,5433.7219,0.0066,5433.722(7),29.511131,0.099153,29.511(99),,,,
